Protein Accession	DNA Accession	AMR Gene Family	Drug Class	Resistance Mechanism
AAP69915.1	AY227053.1	CphA beta-lactamase	carbapenem	antibiotic inactivation
AAP97129.1	AY261375.1	CphA beta-lactamase	carbapenem	antibiotic inactivation
AAG06465.1	AE004091.2	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic efflux;antibiotic target alteration
AAG06466.1	AE004091.2	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic efflux;antibiotic target alteration
AJP77054.1	KP109675.1	CPS beta-lactamase	carbapenem	antibiotic inactivation
BAB38260.1	BA000007.3	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic;aminoglycoside antibiotic	antibiotic efflux
CCN31428.1	HF536482.1	multidrug and toxic compound extrusion (MATE) transporter	aminoglycoside antibiotic	antibiotic efflux
WP_122630831.1	NG_062235.1	CRD3 beta-lactamase	carbapenem	antibiotic inactivation
WP_043592266.1	NG_054656.1	CRH beta-lactamase	carbapenem	antibiotic inactivation
WP_109545050.1	NG_057456.1	CRH beta-lactamase	carbapenem	antibiotic inactivation
WP_109545051.1	NG_057457.1	CRH beta-lactamase	carbapenem	antibiotic inactivation
BAE77933.1	AP009048.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;macrolide antibiotic;penam	antibiotic efflux
WP_043629745.1	NG_054657.1	CRP beta-lactamase	carbapenem	antibiotic inactivation
MBS5055441.1	JAGZKL010000021.1	subclass B1 Bacteroides xylanisolvens crx beta-lactamase	carbapenem	antibiotic inactivation
WP_007888761.1	NG_062223.1	CSA beta-lactamase	cephalosporin	antibiotic inactivation
WP_004384957.1	NG_062211.1	CSA beta-lactamase	cephalosporin	antibiotic inactivation
WP_063859920.1	NG_048896.1	CSP beta-lactamase	cephalosporin	antibiotic inactivation
CAA63262.1	X92506.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AAT68658.1	AY598759.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
CBW46935.1	FR682582.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ADY02545.1	HQ398214.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ADY02546.1	HQ398215.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
CDG50843.1	HG423149.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ADY02555.1	HQ833652.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ADY02554.1	HQ833651.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ADZ31262.1	HQ913565.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AEM44650.1	JF274244.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AEM44651.1	JF274245.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AEM44654.1	JF274248.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AAF93177.1	AY005110.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AEM44648.1	JF274242.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AEM44649.1	JF274243.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AEM44652.1	JF274246.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AEM44653.1	JF274247.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ACU00153.1	GQ351346.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AIL54055.1	KJ911020.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AEI70324.1	JF966749.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AET99223.1	JN227085.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AAG34108.1	AF305837.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AFA51699.1	JN790862.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AFA51700.1	JN790863.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AFA51701.1	JN790864.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AFH88134.1	JQ429324.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AFO69261.1	JQ724542.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
BAL72196.1	AB703103.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_088245211.1	NG_055268.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AFJ59956.1	JX017364.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AAF72531.1	AF252623.2	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AFJ59957.1	JX017365.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AEW46676.3	JN969893.3	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AFQ94051.1	JX313020.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AFX60298.1	JX896165.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AGG08693.1	KC351754.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
BAO37256.1	AB900900.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_070064534.1	NG_051737.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AFY98865.1	KC107824.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AAF72530.1	AF252622.2	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_063108644.1	NG_068166.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AGN11769.1	KC964871.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AGW25368.1	KF240809.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_156404649.1	NG_067138.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AHX39588.1	KJ020573.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_102607454.1	NG_056169.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AHA80961.1	KF513180.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AHX39589.1	KJ020574.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AAL02127.1	AY044436.1	CTX-M beta-lactamase	cephalosporin;penam	antibiotic inactivation
WP_063859959.1	NG_048936.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
BAP34782.1	AB916359.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AHY20039.1	KJ461948.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_168247876.1	NG_068167.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_110093562.1	NG_067221.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AIS67611.1	KM211508.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AIS67612.1	KM211509.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AIS67613.1	KM211510.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AIT97310.1	KM211691.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
BAP18874.1	AB976602.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AAK32961.1	AY029068.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AJO16046.1	KP050493.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AJU57235.1	KP128034.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AKO63213.1	KP681697.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AKO63214.1	KP681698.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AKR53959.1	KP727571.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AKR53960.1	KP727572.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
CFW94147.1	LN830266.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_063859974.1	NG_048952.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_063859975.1	NG_048953.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_063859976.1	NG_048954.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AAK71471.1	AY033516.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_063859984.1	NG_048956.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_065419568.1	NG_051164.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_063859993.1	NG_048957.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_063859998.1	NG_048958.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_063860005.1	NG_048959.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_063860009.1	NG_048960.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_063860014.1	NG_048961.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_063860019.1	NG_048962.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_104009847.1	NG_056408.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_063860025.1	NG_048963.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_063860034.1	NG_048964.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_063860035.1	NG_048965.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_063860036.1	NG_048966.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_064511490.1	NG_050812.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_064511491.1	NG_050813.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_065102278.1	NG_050944.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_065419569.1	NG_051165.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_104009848.1	NG_056409.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_068981632.1	NG_051467.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_068981633.1	NG_051468.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AAK55534.1	AF325134.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_069280706.1	NG_051509.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_102607451.1	NG_056165.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_102607452.1	NG_056166.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_077767290.1	NG_052899.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_077767291.1	NG_052900.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_077767292.1	NG_052901.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_077767293.1	NG_052902.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_085562400.1	NG_054686.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_085562401.1	NG_054687.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_087587947.1	NG_054961.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AAZ95872.1	DQ125241.2	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
CAC95175.1	AJ416344.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_094009813.1	NG_055501.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_094009814.1	NG_055502.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_088245215.1	NG_055272.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_088245212.1	NG_055269.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_088245225.1	NG_055283.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_099156053.1	NG_055667.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_102607455.1	NG_056171.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_102607456.1	NG_056173.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_109545060.1	NG_057474.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_109545061.1	NG_057475.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
CAD08929.1	AJ416346.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_109545062.1	NG_057476.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_109545063.1	NG_057477.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_109545064.1	NG_057478.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_106924209.1	NG_057473.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_109545069.1	NG_057483.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_128268235.1	NG_063838.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_109791209.1	NG_057608.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_109791211.1	NG_057610.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_109791214.1	NG_057613.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_110092882.1	NG_059336.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AAL86924.1	AY080894.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_111672902.1	NG_060560.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_114699284.1	NG_061413.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_116786829.1	NG_061609.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_122630862.1	NG_062275.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_094166899.1	NG_062241.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_136512064.1	NG_064720.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_136512065.1	NG_064721.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_148044409.1	NG_065865.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_148044410.1	NG_065866.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_148044411.1	NG_065867.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AAL99990.1	AF488377.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_156404650.1	NG_067139.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_156404651.1	NG_067140.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_156404652.1	NG_067141.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_156404653.1	NG_067142.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_168247877.1	NG_068168.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_168247878.1	NG_068169.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_156658722.1	NG_068506.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_188331864.1	NG_070730.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_188331865.1	NG_070731.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_188331866.1	NG_070732.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AAN38836.1	AY143430.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_182496339.1	NG_070733.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_188331867.1	NG_070734.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_190259775.1	NG_070784.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_204376225.1	NG_073460.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AAM70498.1	AF518567.2	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AAN75444.1	AY157676.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AAO61597.1	AY156923.1	CTX-M beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
CAD70280.1	AJ549244.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AAP22736.1	AY267213.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
CAA71321.1	Y10278.1	CTX-M beta-lactamase	cephalosporin;cephamycin;penam	antibiotic inactivation
AAP43508.1	AY292654.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
CAD99181.1	AJ567481.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
CAD89606.1	AJ557142.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AAO88912.1	AY238472.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AAR99493.1	AY515297.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
BAD83775.1	AB176534.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
BAD16611.1	AB177384.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AAT70415.1	AY649755.2	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AAV70602.1	AY822595.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AAX54694.1	AY954516.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
CAA74573.1	Y14156.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AAV28215.2	AY750914.2	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AAY43008.1	DQ023162.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AAY84742.1	DQ061159.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AAZ14955.1	DQ102702.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
BAA07082.1	D37830.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
BAA28282.1	D89862.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AAV97956.1	AY847147.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AAV97952.1	AY847143.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AAV97953.1	AY847144.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AAV97954.1	AY847145.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AAC32890.1	U95364.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AAV97955.1	AY847146.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ABA62022.1	DQ211987.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ABB17185.1	DQ223685.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ABB72225.1	DQ268764.2	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ABC18328.3	DQ303459.3	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ABI34705.1	DQ885477.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ABN48311.1	EF374097.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ABM97538.1	EF210159.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ABD73290.1	DQ408762.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
CAA06311.1	AJ005044.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
CAL80726.1	AM411407.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ABN09669.1	EF219142.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ABP04245.1	EF219134.3	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
BAD90119.1	AB205197.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
BAF63422.1	AB284167.2	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ABN69105.1	EF418608.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ABQ45409.1	EF576988.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ABS90365.1	EF581888.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ABV81082.1	EU177100.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ABY91281.1	EU402393.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
CAA06312.1	AJ005045.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ACV92002.1	FJ815436.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AAV97957.1	AY847148.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_063860072.1	NG_049025.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ACS32293.1	GQ149243.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ACS32294.1	GQ149244.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
CAQ42486.1	AM982520.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
CAQ42480.1	AM982521.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
CAQ42481.2	AM982522.2	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ABO09821.1	EF426798.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AAF04388.1	AF189721.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ABW86620.2	EU202673.2	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ABV57756.3	EU136031.3	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ABB59946.1	DQ256091.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ACI29345.1	FJ214366.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ACI29346.1	FJ214367.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ACI29347.1	FJ214368.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ACI29348.1	FJ214369.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ACB41777.1	EU545409.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_063860086.1	NZ_SQNR01000043.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ACR56321.1	FJ971899.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
AAF05311.2	AF174129.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ACQ99521.1	FJ907381.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ACX34099.1	GQ870432.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ACY74743.1	GU127598.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ADN26580.1	HQ166709.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ADK11041.1	HM167760.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
CBL80615.1	FN813245.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
CAG28417.1	AJ704396.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
WP_063860093.1	NG_049051.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ADO17948.1	HM755448.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
ADL27532.1	HM803271.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation
N/A	NR_040847.1	16S rRNA with mutation conferring resistance to tetracycline derivatives	N/A	antibiotic target alteration
AER05434.1	CP003084.1	fluoroquinolone resistant gyrA	fluoroquinolone antibiotic	antibiotic target alteration
WP_164461288.1	NG_067986.1	CVI beta-lactamase	carbapenem	antibiotic inactivation
AAN62561.1	AY168442.1	Van ligase	glycopeptide antibiotic	antibiotic target alteration
AAM45855.1	AF426161.1	DES beta-lactamase	penam	antibiotic inactivation
CAF31623.1	AJ628423.2	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
AAP74961.2	KJ541681.1	trimethoprim resistant dihydrofolate reductase dfr	N/A	antibiotic target replacement
AHG97174.1	KF976462.2	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
ADG84870.1	GU585907.1	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
CAA90683.1	Z50802.3	trimethoprim resistant dihydrofolate reductase dfr	N/A	antibiotic target replacement
AHK10285.1	KF921535.1	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
AHB39758.1	KF534911.1	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
CAI29521.1	AJ867237.1	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
AAK60186.1	AF174129.3	trimethoprim resistant dihydrofolate reductase dfr	N/A	antibiotic target replacement
ABG91835.1	DQ838665.1	trimethoprim resistant dihydrofolate reductase dfr	N/A	antibiotic target replacement
AAK64581.1	AY034138.1	trimethoprim resistant dihydrofolate reductase dfr	N/A	antibiotic target replacement
CAC81324.1	AJ310778.1	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
CAE53424.1	AJ605332.1	trimethoprim resistant dihydrofolate reductase dfr	N/A	antibiotic target replacement
CAP69659.1	AM932669.1	trimethoprim resistant dihydrofolate reductase dfr	N/A	antibiotic target replacement
AGY30828.1	KF525301.1	trimethoprim resistant dihydrofolate reductase dfr	N/A	antibiotic target replacement
CAG34233.2	AJ746361.2	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
CAI99385.1	AJ972619.1	trimethoprim resistant dihydrofolate reductase dfr	N/A	antibiotic target replacement
ABB71176.1	DQ267940.1	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
CAL48457.1	AM403715.1	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
ACD45689.1	KP076293.1	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
CAT00035.1	FM877476.1	trimethoprim resistant dihydrofolate reductase dfr	N/A	antibiotic target replacement
ANN23980.1	KX118301.1	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
AAA25550.1	J03306.1	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
CAQ53849.2	AM997279.2	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
BAD88719.1	AB200915.1	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
ACZ52983.1	GU067642.1	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
WP_058652112.1	NG_062229.1	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
ASF80997.1	KY887596.1	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
WP_000949574.1	NG_065842.1	trimethoprim resistant dihydrofolate reductase dfr	N/A	antibiotic target replacement
WP_132586462.1	NG_070720.1	trimethoprim resistant dihydrofolate reductase dfr	N/A	antibiotic target replacement
WP_197749399.1	NG_071175.1	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
WP_149100971.1	NG_070722.1	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
AAN85115.1	AY162283.2	trimethoprim resistant dihydrofolate reductase dfr	N/A	antibiotic target replacement
ABB89122.1	DQ278190.1	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
ACY06082.1	FJ905898.1	trimethoprim resistant dihydrofolate reductase dfr	N/A	antibiotic target replacement
CAB06660.1	Z86002.1	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
